Summary
[Software Information]
Software Name:,LabSolutions RF
Version:,1.17
[Data Information]
Data is:,Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:,11/11/2025 03:36:32 pm
Comments
[Instrument Information]
Instrument Name:,RF6000
Instrument Type:,RF-6000 Series
Model (S/N):,RF-6000 (A40245500669SA)

Parameter
[Measurement]
Spectrum Type:,Emission
EX Wavelength:,597.0 nm
EM Wavelength Start:,600.0 nm
EM Wavelength End:,800.0 nm
Data Interval:,1.0 nm
Scan Speed:,6000 nm/min
[Instrument]
EX Bandwidth:,5.0 nm
EM Bandwidth:,5.0 nm
Sensitivity:,Low
[Attachment]
Attachment:,None
[Auto Print]
Auto Print:,No
Report File:,

P24 SD HVO 71-29 - CorrectionData
Wavelength nm.,Intensity
600,1336.925
601,1176.131
602,934.508
603,718.944
604,516.513
605,340.735
606,233.044
607,151.178
608,117.739
609,98.613
610,105.667
611,100.361
612,104.103
613,111.813
614,122.867
615,135.555
616,142.740
617,150.144
618,161.728
619,175.042
620,184.861
621,206.510
622,228.976
623,251.991
624,273.369
625,294.388
626,314.036
627,343.740
628,359.611
629,394.320
630,415.992
631,450.503
632,485.008
633,519.715
634,544.562
635,580.226
636,610.057
637,642.979
638,668.224
639,699.638
640,712.906
641,757.988
642,788.671
643,791.863
644,822.591
645,848.304
646,866.894
647,894.154
648,890.688
649,907.874
650,913.564
651,930.759
652,941.471
653,938.805
654,922.671
655,925.683
656,935.118
657,924.376
658,908.815
659,901.558
660,915.130
661,896.150
662,882.709
663,888.422
664,874.763
665,862.728
666,848.970
667,832.889
668,819.947
669,823.391
670,793.220
671,766.938
672,772.573
673,757.352
674,734.946
675,705.825
676,701.557
677,682.323
678,673.806
679,661.592
680,639.589
681,629.750
682,602.204
683,595.071
684,591.544
685,574.480
686,547.063
687,561.058
688,545.713
689,524.561
690,524.018
691,522.683
692,501.978
693,496.291
694,482.934
695,485.816
696,483.061
697,478.883
698,472.163
699,452.731
700,465.869
701,483.326
702,468.938
703,445.979
704,447.553
705,459.147
706,436.781
707,440.492
708,434.739
709,438.262
710,419.576
711,425.848
712,428.003
713,428.594
714,419.953
715,401.530
716,399.374
717,408.066
718,390.428
719,395.061
720,391.416
721,388.954
722,388.485
723,376.745
724,369.226
725,364.484
726,364.406
727,355.114
728,339.089
729,346.258
730,348.704
731,331.737
732,329.953
733,316.396
734,301.456
735,314.914
736,298.959
737,290.164
738,289.717
739,271.787
740,277.632
741,277.554
742,260.394
743,251.407
744,262.815
745,231.457
746,232.733
747,222.564
748,226.591
749,234.207
750,228.237
751,226.250
752,228.575
753,221.522
754,214.211
755,207.032
756,197.309
757,201.700
758,222.906
759,211.176
760,221.915
761,204.418
762,214.123
763,220.156
764,219.176
765,205.503
766,203.260
767,203.390
768,214.433
769,200.044
770,187.856
771,191.371
772,193.662
773,191.357
774,197.642
775,186.202
776,191.861
777,184.185
778,183.624
779,174.161
780,168.714
781,172.625
782,168.810
783,161.903
784,155.433
785,156.210
786,147.993
787,164.785
788,170.512
789,171.161
790,159.135
791,153.486
792,164.093
793,160.898
794,170.100
795,163.512
796,164.636
797,196.136
798,165.397
799,159.652
800,172.405
